lemma,part_of_speech,hyponyms
arabian,noun,bahraini;bedouin;omani;palestinian;qatari;saracen;saudi;yemeni
arachnoid,noun,acarine;false scorpion;harvestman;scorpion;spider;whip-scorpion
aramaic,noun,assyrian neo-aramaic;biblical aramaic;mandaean
arced,verb,camber
arch,noun,hemal arch;instep;metatarsal arch;neural arch;shoulder girdle|abutment arch;broken arch;camber arch;corbel arch;flat arch;pier arch;pointed arch;proscenium arch;rampant arch;round arch;rowlock arch;safety arch;scoinson arch;segmental arch;shouldered arch;skeen arch;skew arch;squinch;trimmer arch;triumphal arch;tudor arch
arch,verb,camber
arched,verb,camber
arching,verb,camber
archosaurian,noun,dinosaur;ichthyosaur;nothosaur;plesiosaur;pterosaur;thecodont
arithmetic,noun,algorism
armed,verb,forearm;rearm|munition;rearm
aroid,noun,alocasia;amorphophallus;black calla;caladium;cuckoopint;devil's tongue;dracontium;dragon arum;dumb cane;friar's-cowl;green dragon;jack-in-the-pulpit;krubi;nephthytis;pungapung;taro;yautia
aroused,verb,anger;draw;excite;hurt;infatuate;inflame;interest;invite;overwhelm;prick;rekindle;shame;stimulate;strike a chord;upset|bless;curse|animate;cathect;enliven;invigorate|bring to;call;reawaken|tempt
arranged,verb,alphabetize;cascade;catenate;chain;concord;corral;drape;drape;dress;gradate;line up;marshal;order;order;organize;pack;pair;preen;pyramid;range;rearrange;regularize;serialize;set;settle;stack;stack;stagger;straighten;stratify;string;string;string out|concord;firm up;settle|dogfight;phase;tee up|indent;rubricate|bob;wave|prearrange;put;table;transpose|phrase;synchronize
arrayed,verb,compart|fall in line;side
arresting,verb,cut down
articulate,verb,ask;dogmatize;formularize;frame;lexicalize|aspirate;click;devoice;drawl;explode;flap;lilt;lisp;mispronounce;nasalize;nasalize;palatalize;raise;retroflex;roll;round;sibilate;stress;subvocalize;syllabize;trill;twang;vocalize;voice
articulated,verb,ask;dogmatize;formularize;frame;lexicalize|aspirate;click;devoice;drawl;explode;flap;lilt;lisp;mispronounce;nasalize;nasalize;palatalize;raise;retroflex;roll;round;sibilate;stress;subvocalize;syllabize;trill;twang;vocalize;voice
artiodactyl,noun,camel;hippopotamus;llama;peccary;ruminant;swine;vicuna
ascendant,noun,ancestress;forebear;forefather;foremother;progenitor
ascendent,noun,ancestress;forebear;forefather;foremother;progenitor
ascending,noun,climb;heave;levitation;soar
ascending,verb,surface;uprise
ascertained,verb,admeasure;count;gauge;rectify;redetermine;refract;sequence;situate;translate|card;cinch;control;cover;cross-check;double-check;proofread;spot-check|test|price
ascetic,noun,puritan;stylite
asian,noun,afghan;altaic;armenian;bangladeshi;bengali;bhutanese;burmese;byzantine;cambodian;chinese;coolie;east indian;eurasian;hindu;hmong;iberian;indian;indonesian;irani;iraqi;israeli;israelite;japanese;jordanian;kazakhstani;korean;kurd;kuwaiti;lao;lebanese;malay;malaysian;maldivian;mongoloid;nepalese;oriental;pakistani;parthian;sherpa;singaporean;sinhalese;sri lankan;syrian;taiwanese;tajik;thai;tibetan;timorese;trojan;turki;vietnamese
